iter	Passed	Remaining
445	1111	1381
446	1113	1377
447	1114	1373
448	1115	1369
449	1117	1365
450	1120	1364
451	1122	1360
452	1123	1356
453	1124	1352
454	1125	1348
455	1127	1344
456	1128	1341
457	1130	1337
458	1131	1333
459	1132	1329
460	1136	1328
461	1137	1324
462	1138	1320
463	1139	1316
464	1141	1313
465	1142	1309
466	1143	1305
467	1145	1301
468	1146	1297
469	1147	1294
470	1151	1293
471	1152	1289
472	1153	1285
473	1155	1281
474	1156	1278
475	1157	1274
476	1158	1270
477	1160	1266
478	1161	1263
479	1162	1259
480	1166	1258
481	1167	1254
482	1168	1250
483	1169	1247
484	1171	1243
485	1173	1241
486	1175	1238
487	1176	1234
488	1178	1231
489	1181	1229
490	1183	1226
491	1185	1223
492	1187	1221
493	1188	1217
494	1190	1214
495	1191	1210
496	1193	1207
497	1196	1206
498	1197	1202
499	1199	1199
500	1200	1196
501	1202	1192
502	1203	1188
503	1204	1185
504	1205	1181
505	1207	1178
506	1208	1174
507	1212	1174
508	1213	1170
509	1215	1167
510	1217	1164
511	1218	1161
512	1220	1158
513	1221	1154
514	1222	1151
515	1223	1147
516	1227	1146
517	1229	1143
518	1230	1140
519	1232	1137
520	1233	1134
521	1238	1134
522	1243	1133
523	1246	1132
524	1248	1129
525	1249	1126
526	1251	1123
527	1252	1119
528	1254	1116
529	1260	1117
530	1262	1114
531	1264	1112
532	1265	1109
533	1267	1105
534	1269	1103
535	1276	1104
536	1277	1101
537	1279	1098
538	1281	1095
539	1282	1092
540	1283	1089
541	1285	1086
542	1292	1087
543	1293	1084
544	1294	1080
545	1295	1077
546	1297	1074
547	1299	1071
548	1300	1068
549	1305	1068
550	1308	1066
551	1310	1063
552	1311	1060
553	1313	1057
554	1315	1054
555	1317	1052
556	1319	1049
557	1320	1046
558	1322	1043
559	1323	1039
560	1325	1037
561	1332	1038
562	1334	1035
563	1336	1033
564	1338	1030
565	1339	1027
566	1340	1023
567	1341	1020
568	1343	1017
569	1344	1014
570	1346	1011
571	1347	1008
572	1349	1005
573	1350	1002
574	1351	999
575	1356	998
576	1358	995
577	1359	992
578	1361	989
579	1362	986
580	1364	983
581	1365	980
582	1367	977
583	1371	976
584	1372	973
585	1373	970
586	1375	967
587	1376	964
588	1378	961
589	1379	958
590	1380	955
591	1381	952
592	1385	951
593	1387	948
594	1388	945
595	1389	942
596	1391	939
597	1392	936
598	1394	933
599	1395	930
600	1396	927
601	1397	924
602	1401	922
603	1402	919
604	1404	916
605	1405	914
606	1407	911
607	1411	909
608	1412	907
609	1418	906
610	1419	904
611	1421	901
612	1422	898
613	1424	895
614	1425	892
615	1426	889
616	1428	886
617	1433	885
618	1434	882
619	1435	880
620	1437	877
621	1438	874
622	1439	871
623	1441	868
624	1442	865
625	1446	863
626	1452	863
627	1457	863
628	1458	860
629	1463	859
630	1465	856
631	1466	853
632	1467	851
633	1469	848
634	1470	845
635	1471	842
636	1472	839
637	1474	836
638	1478	835
639	1479	832
640	1481	829
641	1482	826
642	1483	823
643	1484	820
644	1486	817
645	1487	815
646	1488	812
647	1491	810
648	1492	807
649	1494	804
650	1495	801
651	1496	798
652	1498	796
653	1499	793
654	1500	790
655	1501	787
656	1502	784
657	1504	781
658	1508	780
659	1510	777
660	1511	775
661	1512	772
662	1513	769
663	1515	766
664	1516	763
665	1517	761
666	1519	758
667	1522	756
668	1523	753
669	1525	751
670	1526	748
671	1527	745
672	1528	742
673	1530	740
674	1531	737
675	1532	734
676	1534	732
677	1537	730
678	1539	727
679	1541	725
680	1542	722
681	1544	720
682	1545	717
683	1546	714
684	1548	712
685	1549	709
686	1552	707
687	1554	704
688	1555	702
689	1556	699
690	1558	696
691	1559	694
692	1560	691
693	1561	688
694	1563	685
695	1564	683
696	1567	681
697	1569	678
698	1570	676
699	1571	673
700	1573	670
701	1574	668
702	1575	665
703	1577	663
704	1578	660
705	1580	658
706	1583	656
707	1584	653
708	1586	651
709	1587	648
710	1588	645
711	1590	643
712	1591	640
713	1593	638
714	1594	635
715	1597	633
716	1599	631
717	1600	628
718	1601	626
719	1603	623
720	1604	620
721	1605	618
722	1607	615
723	1608	613
724	1609	610
725	1613	608
726	1614	606
727	1615	603
728	1616	601
729	1618	598
730	1619	596
731	1620	593
732	1622	590
733	1623	588
734	1624	585
735	1625	583
736	1627	580
737	1628	578
738	1630	575
739	1631	573
740	1632	570
741	1633	568
742	1635	565
743	1636	563
744	1637	560
745	1638	557
746	1642	556
747	1643	553
748	1645	551
749	1646	548
750	1648	546
751	1650	544
752	1651	541
753	1652	539
754	1654	536
755	1656	534
756	1657	532
757	1658	529
758	1660	527
759	1661	524
760	1662	522
761	1663	519
762	1665	517
763	1666	514
764	1667	512
765	1671	510
766	1672	508
767	1673	505
768	1675	503
769	1676	500
770	1677	498
771	1679	495
772	1680	493
773	1681	490
774	1682	488
775	1686	486
776	1688	484
777	1689	482
778	1690	479
779	1692	477
780	1693	474
781	1694	472
782	1696	470
783	1697	467
784	1700	465
785	1701	463
786	1703	461
787	1704	458
788	1705	456
789	1707	453
790	1708	451
791	1709	448
792	1710	446
793	1711	444
794	1713	441
795	1716	439
796	1717	437
797	1719	435
798	1720	432
799	1721	430
800	1723	428
801	1724	425
802	1725	423
803	1726	420
804	1728	418
805	1731	416
806	1733	414
807	1735	412
808	1736	410
809	1739	407
810	1740	405
811	1741	403
812	1742	400
813	1746	399
814	1747	396
815	1749	394
816	1750	392
817	1751	389
818	1752	387
819	1754	385
820	1755	382
821	1756	380
822	1758	378
823	1761	376
824	1762	373
825	1764	371
826	1765	369
827	1766	367
828	1768	364
829	1769	362
830	1770	360
831	1771	357
832	1773	355
833	1776	353
834	1778	351
835	1779	349
836	1780	346
837	1782	344
838	1783	342
839	1784	339
840	1786	337
841	1787	335
842	1788	333
843	1792	331
844	1793	329
845	1795	326
846	1796	324
847	1797	322
848	1799	319
849	1800	317
850	1801	315
851	1802	313
852	1804	310
853	1809	309
854	1811	307
855	1814	305
856	1815	302
857	1817	300
858	1818	298
859	1822	296
860	1824	294
861	1825	292
862	1827	290
863	1829	287
864	1830	285
865	1831	283
866	1833	281
867	1836	279
868	1837	277
869	1839	274
870	1840	272
871	1841	270
872	1843	268
873	1844	265
874	1845	263
875	1847	261
876	1848	259
877	1851	257
878	1853	255
879	1854	252
880	1856	250
881	1857	248
882	1859	246
883	1860	244
884	1861	241
885	1863	239
886	1864	237
887	1867	235
888	1869	233
889	1870	231
890	1871	228
891	1873	226
892	1874	224
893	1875	222
894	1877	220
895	1878	218
896	1879	215
897	1881	213
898	1882	211
899	1883	209
900	1885	207
901	1886	204
902	1887	202
903	1888	200
904	1890	198
905	1891	196
906	1892	194
907	1895	192
908	1897	189
909	1898	187
910	1899	185
911	1901	183
912	1902	181
913	1903	179
914	1904	176
915	1906	174
916	1907	172
917	1910	170
918	1912	168
919	1913	166
920	1914	164
921	1915	162
922	1917	159
923	1918	157
924	1919	155
925	1921	153
926	1922	151
927	1923	149
928	1926	147
929	1928	145
930	1929	143
931	1931	140
932	1934	138
933	1935	136
934	1937	134
935	1938	132
936	1942	130
937	1943	128
938	1944	126
939	1946	124
940	1947	122
941	1948	119
942	1950	117
943	1951	115
944	1952	113
945	1953	111
946	1957	109
947	1958	107
948	1960	105
949	1961	103
950	1962	101
951	1964	99
952	1965	96
953	1966	94
954	1968	92
955	1969	90
956	1971	88
957	1974	86
958	1976	84
959	1977	82
960	1978	80
961	1980	78
962	1981	76
963	1982	74
964	1986	72
965	1991	70
966	1994	68
967	1996	65
968	1997	63
969	1998	61
970	2004	59
971	2007	57
972	2009	55
973	2011	53
974	2012	51
975	2018	49
976	2021	47
977	2022	45
978	2024	43
979	2025	41
980	2028	39
981	2035	37
982	2037	35
983	2038	33
984	2040	31
985	2041	28
986	2042	26
987	2044	24
988	2051	22
989	2053	20
990	2055	18
991	2057	16
992	2058	14
993	2060	12
994	2068	10
995	2070	8
996	2072	6
997	2073	4
998	2074	2
999	2081	0
